user_id,lifecycle_stage,days_since_signup,age_band,region,sessions_last_7d,exercises_completed_7d,streak_current,coins_balance,feature_ai_tutor_used,feature_leaderboard_viewed,feature_progress_checked,preferred_hour,notif_open_rate_30d,motivation_score,gamification_propensity,ai_tutor_propensity,leaderboard_propensity,activation_score
US_1,paid,119,25-34,tier2,5,16,22,453.0,False,False,True,7,0.304,0.65,0.8451967510961655,0.736032886821222,0.269035618602983,0.6766946693399224
US_2,churned,126,25-34,tier2,0,0,0,5.0,False,False,True,18,0.111,0.37,0.2586353498654457,0.2308370386107788,0.22248497116428625,0.11935894179063475
US_3,trial,3,25-34,tier2,9,9,5,90.0,False,True,True,9,0.435,0.51,0.37271136195642496,0.5125585529935294,0.6620930290428039,0.5496672821290178
US_4,paid,22,18-24,tier1,7,6,22,139.0,False,True,True,15,0.483,0.77,0.4919511731498632,0.4090967945882661,0.7122583652277408,0.6939951205187238
US_5,churned,117,25-34,tier2,0,0,0,18.0,False,False,False,9,0.129,0.39,0.2726011345908034,0.2308370386107788,0.2256107922340912,0.1322206557221931
US_6,trial,2,25-34,tier2,6,3,7,27.0,False,False,True,8,0.315,0.86,0.30113031636163634,0.3131043974139675,0.3077351508737113,0.4999986272456474
US_7,inactive,35,35-44,tier3,0,0,0,176.9,False,True,False,20,0.069,0.25,0.47347662268947066,0.2308370386107788,0.6079952606514125,0.06926477714386062
US_8,trial,5,25-34,tier2,11,3,5,18.0,False,False,True,13,0.38,0.52,0.28552843987612525,0.3131043974139675,0.24668112561308728,0.48719296746236207
US_9,trial,1,25-34,tier2,3,3,1,27.0,False,False,True,8,0.489,0.87,0.2851540180635966,0.3131043974139675,0.309653650528525,0.4932012359019191
US_10,inactive,59,35-44,tier3,0,0,0,10.0,False,False,False,7,0.078,0.22,0.26395126397819335,0.2308370386107788,0.20003194094533513,0.06474099839701895
US_11,inactive,17,35-44,tier3,0,0,0,24.0,False,False,False,7,0.057,0.14,0.27920361561500173,0.2308370386107788,0.18877104501173528,0.03421659821732141
US_12,paid,81,25-34,tier2,8,4,15,159.0,False,True,True,19,0.352,0.73,0.4969998074374999,0.343816909533967,0.7048325406257985,0.5721814937423639
US_13,paid,17,25-34,tier2,16,7,12,315.0,False,True,True,8,0.39,0.9,0.6918406881314566,0.4431505498819039,0.7356049602306505,0.756270979685647
US_14,trial,1,35-44,tier3,4,5,4,50.0,False,True,True,10,0.318,0.62,0.3199964642404449,0.37589342116230046,0.6838509963876926,0.41149811201963254
US_15,churned,92,18-24,tier1,0,1,0,16.0,False,False,False,20,0.047,0.26,0.27042212842689234,0.2564931942483056,0.20584840163546475,0.07456497092677543
US_16,trial,2,25-34,tier2,4,8,2,80.0,False,False,False,20,0.266,0.69,0.3510917075376953,0.4777471371839312,0.2761658704908094,0.430559852630842
US_17,paid,118,18-24,tier1,12,16,14,352.0,True,True,True,19,0.347,0.53,0.7385126185931707,0.8759057805031194,0.6661038618078805,0.7013753520068579
US_18,paid,87,25-34,tier2,8,11,15,246.0,False,False,True,18,0.485,0.7,0.6147262565782726,0.5814856028159671,0.27796658510529526,0.6996363539187798
